#TYPE Microsoft.Online.Administration.UserExtended
"Password","ExtensionData","AlternateEmailAddresses","AlternateMobilePhones","AlternativeSecurityIds","BlockCredential","City","CloudExchangeRecipientDisplayType","Country","Department","DirSyncProvisioningErrors","DisplayName","Errors","Fax","FirstName","ImmutableId","IndirectLicenseErrors","IsBlackberryUser","IsLicensed","LastDirSyncTime","LastName","LastPasswordChangeTimestamp","LicenseAssignmentDetails","LicenseReconciliationNeeded","Licenses","LiveId","MSExchRecipientTypeDetails","MSRtcSipDeploymentLocator","MSRtcSipPrimaryUserAddress","MobilePhone","ObjectId","Office","OverallProvisioningStatus","PasswordNeverExpires","PasswordResetNotRequiredDuringActivate","PhoneNumber","PortalSettings","PostalCode","PreferredDataLocation","PreferredLanguage","ProxyAddresses","ReleaseTrack","ServiceInformation","SignInName","SoftDeletionTimestamp","State","StreetAddress","StrongAuthenticationMethods","StrongAuthenticationPhoneAppDetails","StrongAuthenticationProofupTime","StrongAuthenticationRequirements","StrongAuthenticationUserDetails","StrongPasswordRequired","StsRefreshTokensValidFrom","Title","UsageLocation","UserLandingPageIdentifierForO365Shell","UserPrincipalName","UserThemeIdentifierForO365Shell","UserType","ValidationStatus","WhenCreated"
"Zog86551","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Sales",,"Todd Atlay",,,"Todd",,,"False","True",,"Atlay","24/01/2023 09:47:46","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5BE58",,,,"461-181-1937","70aece07-6b6b-4e57-bacb-c04ce2539777",,"PendingInput","False",,,,,,,,,,"Todd-Atlay@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:46","Software Test Engineer I","CN",,"Todd-Atlay@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Pac13173","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Training",,"Mar Hubane",,,"Mar",,,"False","True",,"Hubane","24/01/2023 09:47:47","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5E04A",,,,"897-469-2463","f8bdad05-54c9-49a4-a6e1-0739fcbbf840",,"PendingInput","False",,,,,,,,,,"Mar-Hubane@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:47","Executive Secretary","PH",,"Mar-Hubane@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Gut07104","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Marketing",,"Orville Mudge",,,"Orville",,,"False","True",,"Mudge","24/01/2023 09:47:47","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5E054",,,,"740-653-1757","4f5512f1-892d-42a4-8436-8abbe84f0599",,"PendingInput","False",,,,,,,,,,"Orville-Mudge@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:47","Staff Accountant IV","RU",,"Orville-Mudge@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Job11640","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Human Resources",,"Fiorenze Glinde",,,"Fiorenze",,,"False","True",,"Glinde","24/01/2023 09:47:48","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5BE61",,,,"310-536-8439","06f51a2b-3c0d-42a2-844a-b00b8dfb9565",,"PendingInput","False",,,,,,,,,,"Fiorenze-Glinde@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:48","Geologist I","RU",,"Fiorenze-Glinde@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Qas83682","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Business Development",,"Oswell Tommaseo",,,"Oswell",,,"False","True",,"Tommaseo","24/01/2023 09:47:48","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5E05C",,,,"301-677-2766","9e929137-3d2b-4fe6-9dc4-bbcb916f849b",,"PendingInput","False",,,,,,,,,,"Oswell-Tommaseo@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:48","Human Resources Assistant II","US",,"Oswell-Tommaseo@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Lup04254","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Sales",,"Lillian Packman",,,"Lillian",,,"False","True",,"Packman","24/01/2023 09:47:49","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5E05D",,,,"957-314-4953","85590a27-2146-49e7-a755-ad8d56c44d23",,"PendingInput","False",,,,,,,,,,"Lillian-Packman@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:49","Design Engineer","BR",,"Lillian-Packman@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Bam02771","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Research and Development",,"Nathan Sutherby",,,"Nathan",,,"False","True",,"Sutherby","24/01/2023 09:47:49","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5E062",,,,"453-979-0768","ef2f14b4-6747-4d44-a0b6-a206e26471e0",,"PendingInput","False",,,,,,,,,,"Nathan-Sutherby@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:49","VP Product Management","CN",,"Nathan-Sutherby@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Joz51292","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Sales",,"Moses Pinnock",,,"Moses",,,"False","True",,"Pinnock","24/01/2023 09:47:50","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5BE70",,,,"386-169-5615","c314c5cf-3f7f-4d65-915b-bd1af3cc6995",,"PendingInput","False",,,,,,,,,,"Moses-Pinnock@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:50","Budget/Accounting Analyst III","UA",,"Moses-Pinnock@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Tur31349","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Support",,"Errol Snaden",,,"Errol",,,"False","True",,"Snaden","24/01/2023 09:47:50","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5E06F",,,,"916-411-7752","81530835-8d01-4a25-8713-58e16ad5d339",,"PendingInput","False",,,,,,,,,,"Errol-Snaden@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:50","Operator","BO",,"Errol-Snaden@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Las48546","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Accounting",,"Francklyn Lockyear",,,"Francklyn",,,"False","True",,"Lockyear","24/01/2023 09:47:51","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5BE83",,,,"682-462-4753","31ee6e2f-6803-490c-82b5-13cdf2af1322",,"PendingInput","False",,,,,,,,,,"Francklyn-Lockyear@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:51","Programmer Analyst I","AL",,"Francklyn-Lockyear@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
